Contract Year,Sample ID,Population,Type,Date collected,Subsp.,Sex,Processed?,Extracted Sample Location,Sample Plate,Backup Sample in Lysis?,Leftover of Original Sample?,Sample Location,,,,,,,,,,,,,
2023/2024,WBNP-194-Fe,WBNP,Fecal,11/17/2022,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-195-Fe,WBNP,Fecal,11/17/2022,,,Y,Bison Swab DNA Reruns Box,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-198-Fe,WBNP,Fecal,11/17/2022,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-200-Fe,WBNP,Fecal,11/17/2022,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-202-Fe,WBNP,Fecal,11/17/2022,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-203-Fe,WBNP,Fecal,11/17/2022,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-204-Fe,WBNP,Fecal,11/17/2022,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-205-Fe,WBNP,Fecal,11/17/2022,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-208-Fe,WBNP,Fecal,11/17/2022,,,Y,Bison Swab DNA Reruns Box,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-209-Fe,WBNP,Fecal,11/17/2022,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-210-Fe,WBNP,Fecal,11/17/2022,,,Y,,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-962-Fe,WBNP,Fecal,3/14/2023,,,Y,,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-963-Fe,WBNP,Fecal,3/14/2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-964-Fe,WBNP,Fecal,3/14/2023,,,Y,,2023/2024 Contract Plate 1,,,,,,,,,,,,,,,,
2023/2024,WBNP-965-Fe,WBNP,Fecal,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 2,,,,,,,,,,,,,,,,
2023/2024,WBNP-966-Fe,WBNP,Fecal,3/14/2023,,,Y,Bison Swab DNA Reruns Box,2023/2024 Contract Plate 2,,,,,,,,,,,,,,,,
2023/2024,WBNP-967-Fe,WBNP,Fecal ,3/14/2023,,,Y,,2023/2024 Contract Plate 2,,,,,,,,,,,,,,,,
2023/2024,WBNP-968-Fe,WBNP,Fecal ,3/14/2023,,,Y,,2023/2024 Contract Plate 2,,,,,,,,,,,,,,,,
2023/2024,WBNP-969-Fe,WBNP,Fecal ,3/14/2023,,,Y,,2023/2024 Contract Plate 2,,,,,,,,,,,,,,,,
2023/2024,WBNP-970-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 2,,,,,,,,,,,,,,,,
2023/2024,WBNP-971-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Swab DNA Reruns Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-972-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Swab DNA Reruns Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-973-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-974-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-975-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-976-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-977-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-978-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-979-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-980-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-981-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-982-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-983-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WBNP-984-Fe,WBNP,Fecal ,3/14/2023,,,Y,Bison Fecal Swabs DNA Box,2023/2024 Contract Plate 3,,,,,,,,,,,,,,,,
2023/2024,WLNP01,Waterton Lakes,fecal,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Fecal,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP10,Waterton Lakes,fecal,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Fecal,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP02,Waterton Lakes,fecal,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Fecal,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP03,Waterton Lakes,fecal,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Fecal,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP306,Waterton Lakes,tissue,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Tissue,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP308,Waterton Lakes,tissue,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Tissue,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP309,Waterton Lakes,tissue,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Tissue,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP316,Waterton Lakes,tissue,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Tissue,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP320,Waterton Lakes,tissue,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Tissue,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP04,Waterton Lakes,fecal,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Fecal,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP05,Waterton Lakes,fecal,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Fecal,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP06,Waterton Lakes,fecal,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Fecal,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP07,Waterton Lakes,fecal,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Fecal,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP08,Waterton Lakes,fecal,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Fecal,Chest Freezer,,,,,,,,,,,,,
2023/2024,WLNP09,Waterton Lakes,fecal,2023,,,Y,Bison Swab DNA Box,2023/2024 Contract Plate 1,N,Fecal,Chest Freezer,,,,,,,,,,,,,
2024/2025,1,PANP,Teeth,30-May-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,2,PANP,Teeth,4-Jun-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,3,PANP,Teeth,4-Jun-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,5,PANP,Teeth,6-Jun-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,6,PANP,Teeth,6-Jun-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,8,PANP,Teeth,6-Jun-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,9,PANP,Teeth,14-Jun-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,11,PANP,Teeth,22-Jun-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,12,PANP,Teeth,4-Jul-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,13,PANP,Teeth,6-Jul-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,14,PANP,Teeth,9-Jul-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,15,PANP,Teeth,13-Jul-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,16,PANP,Teeth,25-Jul-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,1_Piikani,Piikani,fecal,11-Jun-24,,,Y,2024/2025 Contract Box 2,2024/2025 Contract Plate 2,Swab - Bison 2024 Sample Duplicates in Lysis Box,Fecal,Chest Freezer - 2024/2025 Sample bin 1,,,,,,,,,,,,,
2024/2025,10A,PANP,Teeth,18-Jun-12,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,10B,PANP,Teeth,,,,Y,2024/2025 Contract Box 2,NA - Stock tube only,N,,,,,,,,,,,,,,,
2024/2025,19BF1,WBNP,Hair,ND,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 4,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,19BF2,WBNP,Hair,ND,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 4,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,19BF3,WBNP,Hair,ND,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 4,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,19BF4,WBNP,Hair,ND,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 4,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,19BF5,WBNP,Hair,ND,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 4,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,2_Piikani,Piikani,fecal,11-Jun-24,,,Y,2024/2025 Contract Box 2,2024/2025 Contract Plate 2,Swab - Bison 2024 Sample Duplicates in Lysis Box,Fecal,Chest Freezer - 2024/2025 Sample bin 1,,,,,,,,,,,,,
2024/2025,20BF1,WBNP,Hair,20-Feb-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 4,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,20BF2,WBNP,Hair,20-Feb-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 4,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,20BF3,WBNP,Hair,20-Feb-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 4,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,20BF8,WBNP,Hair,20-Feb-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 4,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,20BF9,WBNP,Hair,20-Feb-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 4,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,24WBNP_051,WBNP,hair,23-Apr-24,,,Y,2024/2025 Contract Box 1,2024/2025 Contract Plate 1,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,24WBNP_054,WBNP,hair,23-Apr-24,,,Y,2024/2025 Contract Box 1,2024/2025 Contract Plate 1,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,24WBNP_055,WBNP,hair,23-Apr-24,,,Y,2024/2025 Contract Box 1,2024/2025 Contract Plate 1,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,24WBNP_058,WBNP,hair,23-Apr-24,,,Y,2024/2025 Contract Box 1,2024/2025 Contract Plate 1,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,24WBNP_059,WBNP,hair,24-Apr-24,,,Y,2024/2025 Contract Box 1,2024/2025 Contract Plate 1,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,24WBNP_059UNK,WBNP,hair,23-Apr-24,,,Y,2024/2025 Contract Box 1,2024/2025 Contract Plate 1,N,N,Sample shipped to Alberta,,,,,,,,,,,,,
2024/2025,24WBNP_060,WBNP,hair,24-Apr-24,,,Y,2024/2025 Contract Box 1,2024/2025 Contract Plate 1,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,24WBNP_061,WBNP,hair,24-Apr-24,,,Y,2024/2025 Contract Box 1,2024/2025 Contract Plate 1,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,24WBNP_062,WBNP,hair,24-Apr-24,,,Y,2024/2025 Contract Box 1,2024/2025 Contract Plate 1,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,24WBNP_064,WBNP,hair,24-Apr-24,,,Y,2024/2025 Contract Box 1,2024/2025 Contract Plate 1,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,24WBNP_CR-1_062,WBNP,hair,not provided,,,Y,2024/2025 Contract Box 1,2024/2025 Contract Plate 1,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,24WBNP_HC1,WBNP,hair,not provided,,,N,NA,NA,N,N,Sample shipped to Alberta,,,,,,,,,,,,,
2024/2025,25_SturRiv_1,Sturgeon River,Fecal,5-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_10,Sturgeon River,Fecal,5-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_100,Sturgeon River,Tissue,28-Aug-16,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 4,N,Tissue,Chest Freezer,,,,,,,,,,,,,
2024/2025,25_SturRiv_101,Sturgeon River,Tissue,28-Sep-16,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 4,N,Tissue,Chest Freezer,,,,,,,,,,,,,
2024/2025,25_SturRiv_102,Sturgeon River,Tissue,28-Sep-16,,,N,NA,NA,Sample in lysis - Bison 2025 Sturgeon River Box,Hair,Chest Freezer,,,,,,,,,,,,,
2024/2025,25_SturRiv_103,Sturgeon River,Tissue,23-Jan-14,,,N,NA,NA,Sample in lysis - Bison 2025 Sturgeon River Box,Tissue,Chest Freezer,,,,,,,,,,,,,
2024/2025,25_SturRiv_104,Sturgeon River,Tissue,10-Aug-13,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 4,N,Teeth and Hair,Chest Freezer,,,,,,,,,,,,,
2024/2025,25_SturRiv_11,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_12,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_13,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_14,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_15,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_16,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_17,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_18,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_19,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_2,Sturgeon River,Fecal,5-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_20,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_21,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_22,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_23,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_24,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_25,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_26,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_27,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_28,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_29,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_3,Sturgeon River,Fecal,5-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_30,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_31,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_32A,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_32B,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_33A,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_33B,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_34,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_35,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_36,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_37,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_38,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_39,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_4,Sturgeon River,Fecal,5-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 1,,,,,,,,,,,,,
2024/2025,25_SturRiv_40,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_41,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_42,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_43,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_44,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_45,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_46,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
2024/2025,25_SturRiv_47,Sturgeon River,Fecal,6-Mar-25,,,Y,2024/2025 Contract Box 3,2024/2025 Contract Plate 3,Swab - Bison 2025 Sturgeon River Box,Fecal,Chest freezer - Sturgeon River Fecals box 2,,,,,,,,,,,,,
