Kit #,Sample name,Description,Contact,Date received at LeRDC/Sherbrooke,Condition on Arrival,Sample temperature,Bison Sex,Age,Bison Herd,Area,Bison subspecies,Date of Collection,Location (GPS?),Notes,date of gDNA extraction,DNA/Sample sent to Trent,Metagenomic,5 mL tube,2 mL tube,Ziploc,Comments,,1
1431,NBC-1431-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N7-77,Manquant,,,,,,,,
1432,NBC-1432-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N8-77,10/4/2024,,,,,,Subsampled (2024-08-22),,
1433,NBC-1433-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N9-77,10/29/2024,,,,,,Subsampled (2024-08-22),,
1434,NBC-1434-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N10-77,10/4/2024,,,,,,Subsampled (2024-08-22),,
1435,NBC-1435-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N11-77,10/4/2024,,,,,,Subsampled (2024-08-22),,
1436,NBC-1436-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N12-77,10/4/2024,,,,,,Subsampled (2024-08-22) Half extra 5 ml,,
1437,NBC-1437-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N13-77,10/30/2024,,,,,,Subsampled (2024-08-22),,
1438,NBC-1438-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N14-77,10/29/2024,,,,,,Subsampled (2024-08-22),,
1439,NBC-1439-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N15-77,10/29/2024,,,,,,Subsampled (2024-08-22),,
1440,NBC-1440-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Cows and Calf,,Nahanni,BC Government,Wood,1/28/2022,"59.60495,-123.11489",N16-77,10/4/2024,,,,,,Subsampled (2024-08-22),,
1441,NBC-1441-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,1/25/2022,"57.85509, -120.29256",Site #1 (capture site #14??) S1-1,10/29/2024,,,,,,Subsampled (2024-08-23),,
1442,NBC-1442-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,1/25/2022,"57.85509, -120.29256",Site #1 (capture site #14??) S1-2,10/4/2024,,,,,,Subsampled (2024-08-23),,
1443,NBC-1443-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,1/25/2022,"57.85509, -120.29256",Site #1 (capture site #14??) S1-3,10/29/2024,,,,,,Subsampled (2024-08-23),,
1444,NBC-1444-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,1/25/2022,"57.85509, -120.29256",Site #1 (capture site #14??) S1-4,10/29/2024,,,,,,Subsampled (2024-08-23),,
1445,NBC-1445-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,1/25/2022,"57.85509, -120.29256",Site #1 (capture site #14??) S1-5,10/29/2024,,,,,,Subsampled (2024-08-23),,
1446,NBC-1446-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,1/25/2022,"57.85509, -120.29256",Site #1 (capture site #14??) S1-6,10/29/2024,,,,,,Subsampled (2024-08-23),,
1447,NBC-1447-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,1/25/2022,"57.85509, -120.29256",Site #1 (capture site #14??) S1-7,10/29/2024,,,,,,Subsampled (2024-08-23),,
1448,NBC-1448-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,1/25/2022,"57.85509, -120.29256",Site #1 (capture site #14??) S1-8,10/4/2024,,,,,,Subsampled (2024-08-23),,
1449,NBC-1449-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,1/25/2022,"57.88036, -119.99496",Site #2 (AB border) S2-1,10/29/2024,,,,,,Subsampled (2024-08-22),,
1450,NBC-1450-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,1/25/2022,"57.88036, -119.99496",Site #2 (AB border) S2-2,10/29/2024,,,,,,Subsampled (2024-08-23),,
1451,NBC-1451-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,1/25/2022,"57.88036, -119.99496",Site #2 (AB border) S2-3,10/29/2024,,,,,,Subsampled (2024-08-23),,
671,NBC-671-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.77567, -120.20062",Site 3,10/22/2024,,,,,,Subsampled (2024-08-21),,
672,NBC-672-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.30248, -120.44066",Site 2,10/22/2024,,,,,,Subsampled (2024-08-21),,
675,NBC-675-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.30248, -120.44066",Site 2,10/22/2024,,,,,,Subsampled (2024-08-21),,
676,NBC-676-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.20282, -120.48648",Site 1,10/22/2024,,,,,,Subsampled (2024-08-21),,
677,NBC-677-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/22/2024,,,,,,Subsampled (2024-08-21),,
678,NBC-678-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/22/2024,,,,,,Subsampled (2024-08-21),,
679,NBC-679-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/22/2024,,,,,,Subsampled (2024-08-21),,
680,NBC-680-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/22/2024,,,,,,Subsampled (2024-08-21),,
688,NBC-688-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.30248, -120.44066",Site 2,10/22/2024,,,,,,Subsampled (2024-08-22) Probably NBC-688 ?,,
686,NBC-686-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/22/2024,,,,,,Subsampled (2024-08-21),,
687,NBC-687-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/22/2024,,,,,,Subsampled (2024-08-21),,
689,NBC-689-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.20282, -120.48648",Site 1,10/22/2024,,,,,,Subsampled (2024-08-21),,
690,NBC-690-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.30248, -120.44066",Site 2,10/22/2024,,,,,,Subsampled (2024-08-21),,
692,NBC-692-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.77519, -120.26623",Site 4,10/22/2024,,,,,,Subsampled (2024-08-22),,
696,NBC-696-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/22/2024,,,,,,Subsampled (2024-08-21),,
697,NBC-697-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/22/2024,,,,,,Subsampled (2024-08-21),,
701,NBC-701-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.77519, -120.26623",Site 4,10/22/2024,,,,,,Subsampled (2024-08-22),,
702,NBC-702-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.77519, -120.26623",Site 4,10/22/2024,,,,,,Subsampled (2024-08-22),,
703,NBC-703-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.77519, -120.26623",Site 4,10/22/2024,,,,,,Subsampled (2024-08-23),,
705,NBC-705-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/22/2024,,,,,,Subsampled (2024-08-21),,
706,NBC-706-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/22/2024,,,,,,Subsampled (2024-08-21),,
707,NBC-707-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/22/2024,,,,,,Subsampled (2024-08-21),,
708,NBC-708-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/30/2024,,,,,,Subsampled (2024-08-21),,
709,NBC-709-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/30/2024,,,,,,Subsampled (2024-08-21),,
710,NBC-710-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/30/2024,,,,,,Subsampled (2024-08-21),,
695,NBC-695-fe,Fecal,Chris Lewis,8/20/2024,Frozen,,Unknown,Unknown,Ettithun,BC Government,Wood,8/14/2023,"57.64920, -120.32995",Site 5,10/22/2024,,,,,,Subsampled (2024-08-21)  Is it 695 or 795? ,,
2,PANP-002-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
3,PANP-003-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,11/23/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
4,PANP-004-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
6,PANP-006-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,11/23/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
8,PANP-008-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
11,PANP-011-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/6/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
12,PANP-012-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/5/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
14,PANP-014-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
16,PANP-016-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
17,PANP-017-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
18,PANP-018-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
19,PANP-019-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
20,PANP-020-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
23,PANP-023-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
24,PANP-024-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
25,PANP-025-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
26,PANP-026-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
31,PANP-031-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,11/23/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
34,PANP-034-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/6/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
35,PANP-035-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,11/23/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
38,PANP-038-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,11/23/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
41,PANP-041-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/5/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
43,PANP-043-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/5/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
45,PANP-045-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/5/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
48,PANP-048-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
50,PANP-050-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/8/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
51,PANP-051-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/6/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
52,PANP-052-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/6/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
54,PANP-054-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,11/23/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
55,PANP-055-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,11/23/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
57,PANP-057-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,11/23/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
61,PANP-061-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/8/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
62,PANP-062-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
68,PANP-068-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/8/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
70,PANP-070-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/6/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
71,PANP-071-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/6/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
72,PANP-072-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/6/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
73,PANP-073-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/5/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
74,PANP-074-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
75,PANP-075-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,3/20/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
80,PANP-080-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/6/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
82,PANP-082-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/5/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
85,PANP-085-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/8/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
86,PANP-086-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/6/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
87,PANP-087-fe,fecal,,8/1/2023,Frozen,,,,,Prince Albert National Park,Plain,2/1/2021,,,2/8/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
1022,RBQC-1022-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,1/15/2024,,#29,5/23/2024,,,,,,,,
1023,RBQC-1023-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,1/15/2024,,#15,5/23/2024,,,,,,,,
1024,RBQC-1024-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,1/15/2024,,#01,5/23/2024,,,,,,,,
1025,RBQC-1025-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,4/17/2024,,#01?,5/23/2024,,,,,,,,
1027,RBQC-1027-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,4/17/2024,,#29,5/23/2024,,,,,,,,
1028,RBQC-1028-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,4/17/2024,,#64,5/23/2024,,,,,,,,
1029,RBQC-1029-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Male,2-4 years,Rustik,Québec,Plain,4/17/2024,,#34,5/23/2024,,,,,,,,
1031,RBQC-1031-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,4/18/2024,,#03,5/23/2024,,,,,,,,
1032,RBQC-1032-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,4/18/2024,,#43,5/23/2024,,,,,,,,
1033,RBQC-1033-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,4/17/2024,,#47,5/23/2024,,,,,,,,
1035,RBQC-1035-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Male,2-4 years,Rustik,Québec,Plain,4/17/2024,,#05,5/23/2024,,,,,,,,
1040,RBQC-1040-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,2/18/2024,,#49,5/23/2024,,,,,,,,
1042,RBQC-1042-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Male,2-4 years,Rustik,Québec,Plain,2/18/2024,,#31,5/23/2024,,,,,,,,
1043,RBQC-1043-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,2/18/2024,,#45,5/23/2024,,,,,,,,
1044,RBQC-1044-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,4/17/2024,,#47  (2e échantillon),5/23/2024,,,,,,,,
1045,RBQC-1045-fe,Fecal,Anouk Caron,5/10/2024,Frozen,Warm,Female,2-4 years,Rustik,Québec,Plain,4/17/2024,,#38,5/23/2024,,,,,,,,
1012,WBNP-1012-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,,,Sweetgrass,Wood Buffalo National Park,Wood,5/10/2023,"58.84339, -111.99785",SG01,3/14/2024,,,,,,,,
1013,WBNP-1013-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,,,Sweetgrass,Wood Buffalo National Park,Wood,5/10/2023,"58.84386, -111.99850",SG02,3/14/2024,,,,,,,,
1014,WBNP-1014-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,,,Sweetgrass,Wood Buffalo National Park,Wood,5/10/2023,"58.84582, -112.00297",SG03,3/14/2024,,,,,,,,
1015,WBNP-1015-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,,,Sweetgrass,Wood Buffalo National Park,Wood,5/10/2023,"58.84402, -111.99777",SG04,3/14/2024,,,,,,,,
1016,WBNP-1016-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,,,Sweetgrass,Wood Buffalo National Park,Wood,5/10/2023,"58.84196, -111.99406",SG05,3/14/2024,,,,,,,,
1017,WBNP-1017-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,,,Sweetgrass,Wood Buffalo National Park,Wood,5/10/2023,,SG06,3/14/2024,,,,,,,,
1018,WBNP-1018-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,,,Sweetgrass,Wood Buffalo National Park,Wood,5/10/2023,,SG07,3/14/2024,,,,,,,,
1019,WBNP-1019-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,,,Sweetgrass,Wood Buffalo National Park,Wood,5/10/2023,,SG08,3/14/2024,,,,,,,,
1020,WBNP-1020-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,,,Sweetgrass,Wood Buffalo National Park,Wood,5/10/2023,,SG09,3/14/2024,,,,,,,,
1021,WBNP-1021-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,,,Sweetgrass,Wood Buffalo National Park,Wood,5/10/2023,,SG10,3/14/2024,,,,,,,,
1126,WBNP-1126-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,M,,Sweetgrass,Wood Buffalo National Park,Wood,3/14/2023,"59.0702, -112.4372 ",88235,3/14/2024,,,,,,,,
1127,WBNP-1127-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,M,,Sweetgrass,Wood Buffalo National Park,Wood,3/16/2023,"58.81720, -111.86116",88237,3/14/2024,,,,,,,,
1128,WBNP-1128-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,M,,Carlson,Wood Buffalo National Park,Wood,3/15/2023,"58.96720, -111.89399",89238,3/14/2024,,,,,,,,
1129,WBNP-1129-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Hay Camp,Wood Buffalo National Park,Wood,3/14/2023,"59.40872, -111.88466",89749,3/14/2024,,,,,,,,
1130,WBNP-1130-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Hay Camp,Wood Buffalo National Park,Wood,3/14/2023,"59.39338, -111.94966",89752,3/14/2024,,,,,,,,
1131,WBNP-1131-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Hay Camp,Wood Buffalo National Park,Wood,3/15/2023,"59.24963, -111.75038",89753,3/18/2024,,,,,,,,
1132,WBNP-1132-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Sweetgrass,Wood Buffalo National Park,Wood,3/14/2023,"58.81921, -111.91741",89757,3/18/2024,,,,,,,,
1133,WBNP-1133-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Carlson,Wood Buffalo National Park,Wood,3/15/2023,"58.98681, -111.94230",89759,3/18/2024,,,,,,,,
1134,WBNP-1134-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Hay Camp,Wood Buffalo National Park,Wood,3/15/2023,"59.57022, -111.63504",89760,3/18/2024,,,,,,,,
1135,WBNP-1135-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Carlson,Wood Buffalo National Park,Wood,3/15/2023,"58.96792, -112.01052",89761,3/18/2024,,,,,,,,
1136,WBNP-1136-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Sweetgrass,Wood Buffalo National Park,Wood,3/14/2023,"58.84185, -111.76455",89762,3/18/2024,,,,,,,,
1137,WBNP-1137-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Hay Camp,Wood Buffalo National Park,Wood,3/15/2023,"59.40728, -111.90021",89764,3/18/2024,,,,,,,,
1138,WBNP-1138-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Sweetgrass,Wood Buffalo National Park,Wood,3/14/2023,"58.78518, -111.72124",89765,3/18/2024,,,,,,,,
1139,WBNP-1139-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Hay Camp,Wood Buffalo National Park,Wood,3/15/2023,"59.57144, -111.67349",89769,3/18/2024,,,,,,,,
1140,WBNP-1140-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Lake One,Wood Buffalo National Park,Wood,3/15/2023,"58.98199, -111.92901",89771,3/18/2024,,,,,,,,
